id	rate
13093	.101
13095	.111
13097	.114
13099	.105
13101	.067
13103	.079
13105	.122
13107	.103
13109	.089
13111	.1
13113	.084
13115	.111
13117	.086
13119	.118
13121	.107
13123	.098
13125	.111
13127	.082
13129	.131
13131	.098
13133	.111
13135	.094
13137	.094
13139	.091
13141	.177
13143	.113
13145	.072
13147	.138
13149	.124
13151	.104
13153	.073
13155	.145
13157	.109
13159	.127
13161	.135
13163	.149
13165	.196
13167	.119
13169	.086
13171	.153
13173	.084
13175	.108
13177	.079
13179	.085
13181	.103
13183	.059
13185	.082
13187	.111
13189	.121
13191	.096
13193	.13
13195	.083
13197	.099
13199	.132
13201	.087
13205	.104
13207	.102
13209	.085
13211	.098
13213	.123
13215	.092
13217	.126
13219	.062
13221	.082
13223	.107
13225	.102
13227	.108
13229	.093
13231	.118
13233	.108
13235	.071
13237	.104
13239	.118
13241	.104
13243	.13
13245	.103
13247	.12
13249	.138
13251	.137
13253	.107
13255	.154
13257	.107
13259	.107
13261	.129
13263	.098
13265	.124
13267	.087
13269	.13
13271	.162
13273	.116
13275	.093
13277	.106
13279	.098
13281	.078
13283	.119
13285	.129
13287	.13
13289	.114
13291	.09
13293	.133
13295	.096
13297	.11
13299	.107
13301	.188
13303	.14
13305	.117
13307	.091
13309	.091
13311	.095
13313	.125
13315	.116
13317	.117
13319	.107
13321	.108
15001	.108
15003	.063
15007	.096
15009	.097
16001	.091
16003	.121
16005	.084
16007	.052
16009	.121
16011	.059
16013	.077
16015	.071
16017	.095
16019	.059
16021	.12
16023	.045
16025	.11
16027	.106
16029	.06
16031	.059
16033	.041
16035	.118
16037	.039
16039	.077
16041	.04
16043	.066
16045	.104
16047	.055
16049	.083
16051	.068
16053	.059
16055	.087
16057	.059
16059	.065
16061	.052
16063	.097
16065	.055
16067	.06
16069	.055
16071	.05
16073	.041
16075	.077
16077	.067
16079	.119
16081	.051
16083	.068
16085	.114
16087	.084
17001	.079
17003	.112
17005	.093
17007	.138
17009	.045
17011	.109
17013	.095
17015	.105
17017	.073
17019	.082
17021	.099
17023	.131
17025	.114
17027	.079
17029	.091
17031	.106
17033	.105
17035	.097
17037	.092
17039	.092
17041	.091
17043	.086
17045	.107
17047	.091
17049	.079
17051	.116
17053	.104
17055	.146
17057	.125
17059	.11
17061	.092
17063	.114
17065	.093
17067	.113
17069	.128
17071	.094
17073	.086
17075	.1
17077	.073
17079	.095
17081	.1
17083	.088
17085	.081
17087	.104
17089	.099
17091	.128
17093	.104
17095	.103
17097	.1
17099	.124
17101	.103
17103	.109
17105	.107
17107	.095
17109	.077
17111	.093
17113	.074
17115	.124
17117	.105
17119	.097
17121	.119
17123	.106
17125	.143
17127	.08
17129	.078
17131	.089
17133	.078
17135	.122
17137	.084
17139	.09
17141	.119
17143	.116
17145	.119
17147	.082
17149	.081
17151	.106
17153	.119
17155	.15
17157	.094
17159	.105
17161	.095
17163	.108
17165	.112
17167	.079
17169	.066
17171	.075
17173	.1
17175	.098
17177	.116
17179	.113
17181	.108
17183	.12
17185	.103
17187	.08
17189	.08
17191	.097
17193	.086
17195	.106
17197	.099
17199	.096
17201	.155
17203	.086
18001	.134
18003	.093
18005	.088
18007	.09
18009	.133
18011	.068
18013	.078
18015	.099
18017	.105
18019	.082
18021	.096
18023	.092
18025	.105
18027	.049
18029	.089
18031	.11
18033	.124
18035	.095
18037	.08
18039	.15
18041	.134
18043	.074
18045	.116
18047	.089
18049	.112
18051	.067
18053	.111
18055	.071
18057	.061
18059	.078
18061	.078
18063	.068
18065	.12
18067	.119
18069	.111
18071	.101
18073	.087
18075	.104
18077	.095
18079	.122
18081	.074
18083	.066
18085	.11
18087	.14
18089	.094
18091	.107
18093	.111
18095	.097
18097	.084
18099	.114
18101	.063
18103	.123
18105	.056
18107	.097
18109	.075
18111	.089
18113	.145
18115	.105
18117	.092
18119	.081
18121	.083
18123	.088
18125	.087
18127	.082
18129	.07
18131	.095
18133	.082
18135	.102
18137	.091
18139	.095
18141	.104
18143	.121
18145	.088
18147	.081
18149	.126
18151	.129
18153	.093
18155	.07
18157	.085
18159	.103
18161	.086
18163	.074
18165	.108
18167	.092
18169	.12
18171	.101
18173	.069
18175	.112
18177	.109
18179	.091
18181	.094
18183	.116
19001	.051
19003	.06
19005	.093
19007	.094
19009	.051
19011	.058
19013	.058
19015	.059
19017	.05
19019	.059
19021	.055
19023	.06
19025	.054
19027	.042
19029	.058
19031	.057
19033	.067
19035	.044
19037	.084
19039	.074
19041	.062
19043	.079
19045	.077
19047	.047
19049	.051
19051	.101
19053	.066
19055	.068
19057	.082
19059	.058
19061	.06
19063	.086
19065	.085
19067	.087
19069	.07
19071	.07
19073	.063
19075	.049
19077	.056
19079	.081
19081	.09
19083	.06
19085	.044
19087	.088
19089	.086
19091	.062
19093	.058
19095	.058
19097	.077
19099	.081
19101	.087
19103	.044
19105	.063
19107	.071
19109	.056
19111	.114
19113	.065
19115	.08
19117	.06
19119	.043
19121	.058
19123	.077
19125	.057
19127	.07
19129	.043
19131	.054
19133	.071
19135	.075
19137	.087
19139	.089
19141	.053
19143	.054
19145	.087
19147	.07
19149	.047
19151	.052
19153	.062
19155	.048
19157	.066
19159	.053
19161	.047
19163	.073
19165	.039
19167	.041
19169	.045
19171	.066
19173	.067
19175	.06
19177	.08
19179	.094
19181	.058
19183	.049
19185	.064
19187	.083
19189	.091
19191	.058
19193	.057
19195	.063
19197	.084
20001	.078
20003	.079
20005	.081
20007	.051
20009	.061
20011	.065
20013	.056
20015	.072
20017	.054
20019	.084
20021	.085
20023	.037
20025	.037
20027	.042
20029	.045
20031	.057
20033	.038
20035	.076
20037	.081
20039	.033
20041	.051
20043	.088
20045	.054
20047	.044
20049	.11
20051	.036
20053	.041
20055	.043
20057	.038
20059	.071
20061	.069
20063	.035
20065	.043
20067	.042
20069	.034
20071	.045
20073	.072
20075	.042
20077	.056
20079	.074
20081	.037
20083	.042
20085	.06
20087	.067
20089	.049
20091	.068
20093	.045
20095	.063
20097	.049
20099	.078
20101	.034
20103	.073
20105	.063
20107	.084
20109	.04
20111	.057
20113	.051
20115	.063
20117	.049
20119	.042
20121	.068
20123	.058
20125	.094
20127	.068
20129	.047
20131	.043
20133	.07
20135	.04
20137	.047
20139	.07
20141	.044
20143	.065
20145	.037
20147	.06
20149	.041
20151	.053
20153	.035
20155	.063
20157	.041
20159	.051
20161	.032
20163	.073
20165	.059
20167	.046
20169	.057
20171	.032
20173	.088
20175	.051
20177	.064
20179	.032
20181	.039
20183	.043
20185	.061
20187	.034
20189	.053
20191	.09
20193	.036
20195	.036
20197	.066
20199	.059
20201	.045
20203	.035
20205	.102
20207	.089
20209	.104
21001	.101
21003	.143
21005	.109
21007	.102
21009	.116
21011	.133
21013	.125
21015	.092
21017	.091
21019	.083
21021	.11
21023	.102
21025	.1
21027	.121
21029	.108
21031	.137
21033	.109
21035	.08
21037	.107
21039	.091
21041	.124
21043	.135
21045	.102
21047	.129
21049	.114
21051	.135
21053	.09
21055	.108
21057	.13
21059	.091
21061	.128
21063	.126
21065	.129
21067	.077
21069	.122
21071	.124
21073	.091
21075	.144
21077	.111
21079	.119
21081	.101
21083	.103
21085	.164
21087	.124
21089	.098
21091	.136
21093	.1
21095	.125
21097	.111
21099	.106
21101	.098
21103	.107
21105	.092
21107	.091
21109	.175
21111	.105
21113	.088
21115	.111
21117	.1
21119	.12
21121	.115
21123	.107
21125	.101
21127	.131
21129	.123
21131	.137
21133	.12
21135	.151
21137	.121
21139	.098
21141	.104
21143	.122
21145	.091
21147	.133
21149	.106
21151	.087
21153	.214
21155	.129
21157	.107
21159	.124
21161	.111
21163	.124
21165	.147
21167	.108
21169	.158
21171	.14
21173	.126
21175	.145
21177	.107
21179	.115
21181	.125
21183	.094
21185	.086
21187	.101
21189	.112
21191	.117
21193	.125
21195	.107
21197	.167
21199	.1
21201	.096
21203	.128
21205	.086
21207	.108
21209	.091
21211	.096
21213	.118
21215	.102
21217	.102
21219	.126
21221	.16
21223	.107
21225	.108
21227	.092
21229	.127
21231	.136
21233	.088
21235	.114
21237	.139
21239	.083
22001	.071
22003	.101
22005	.067
22007	.088
22009	.081
22011	.08
22013	.105
22015	.064
22017	.079
22019	.072
22021	.107
22023	.056
22025	.103
22027	.103
22029	.113
22031	.09
22033	.068
22035	.142
22037	.08
22039	.086
22041	.113
22043	.082
22045	.076
22047	.104
22049	.078
22051	.065
22053	.064
22055	.059
22057	.049
22059	.073
22061	.078
22063	.07
22065	.093
22067	.151
22069	.084
22071	.107
22073	.076
22075	.062
22077	.079
22079	.069
22081	.096
22083	.107
22085	.081
22087	.105
22089	.065
22091	.118
22093	.1
22095	.084
22097	.083
22099	.075
22101	.086
22103	.052
22105	.081
22107	.135
22109	.052
22111	.122
22113	.072
22115	.067
22117	.096
22119	.091
22121	.074
22123	.17
22125	.082
22127	.091
23001	.084
23003	.093
23005	.065
23007	.112
23009	.068
23011	.073
23013	.07
23015	.063
23017	.109
23019	.08
23021	.116
23023	.067
23025	.107
23027	.078
23029	.104
23031	.074
24001	.075
24003	.065
24005	.077
24009	.059
24011	.088
24013	.06
24015	.086
24017	.059
24019	.109
24021	.059
24023	.069
24025	.071
24027	.054
24029	.071
24031	.053
24033	.073
24035	.066
24037	.056
24039	.095
24041	.068
24043	.094
24045	.077
24047	.075
24510	.106
25001	.08
25003	.084
25005	.118
25007	.05
25009	.101
25011	.087
25013	.105
25015	.073
25017	.081
25019	.05
25021	.085
25023	.097
25025	.093
25027	.101
26001	.167
26003	.12
26005	.132
26007	.139
26009	.147
26011	.158
26013	.243
26015	.105
26017	.123
26019	.12
26021	.135
26023	.14
26025	.124
26027	.114
26029	.139
26031	.086
26033	.116
26035	.168
26037	.094
26039	.137
26041	.115
26043	.12
26045	.103
26047	.122
26049	.158
26051	.165
26053	.133
26055	.12
26057	.137
26059	.172
26061	.102
26063	.148
26065	.116
26067	.134
26069	.164
26071	.117
26073	.085
26075	.149
26077	.112
26079	.143
26081	.117
26083	.119
26085	.175
26087	.181
26089	.09
26091	.161
26093	.136
26095	.132
26097	.061
26099	.181
26101	.126
26103	.101
26105	.129
26107	.13
26109	.125
26111	.102
26113	.15
26115	.142
26117	.176
26119	.189
26121	.16
26123	.138
26125	.156
26127	.152
26129	.127
26131	.138
26133	.153
26135	.191
26137	.147
26139	.128
26141	.16
26143	.146
26145	.129
26147	.19
26149	.139
26151	.178
26153	.127
26155	.152
26157	.163
26159	.132
26161	.093
26163	.183
26165	.183
27001	.081
27003	.079
27005	.064
27007	.072
27009	.07
27011	.045
27013	.063
27015	.055
27017	.073
27019	.07
27021	.079
27023	.061
27025	.084
27027	.036
27029	.091
27031	.047
27033	.052
27035	.074
27037	.069
27039	.061
27041	.056
27043	.076
27045	.07
27047	.076
27049	.067
27051	.068
27053	.073
27055	.071
27057	.073
27059	.083
27061	.092
27063	.047
27065	.103
27067	.055
27069	.052
27071	.073
27073	.054
27075	.075
27077	.069
27079	.086
27081	.045
27083	.049
27085	.08
27087	.06
27089	.062
27091	.069
27093	.078
27095	.105
27097	.09
27099	.055
27101	.039
27103	.061
27105	.045
27107	.051
27109	.055
27111	.063
27113	.056
27115	.091
27117	.053
27119	.044
27121	.064
27123	.074
27125	.067
27127	.061
27129	.064
27131	.075
27133	.051
27135	.05
27137	.082
27139	.068
27141	.081
27143	.065
27145	.068
27147	.077
27149	.043
27151	.066
27153	.075
27155	.062
27157	.071
27159	.088
27161	.07
27163	.068
27165	.075
27167	.047
27169	.07
27171	.082
27173	.051
28001	.08
28003	.113
28005	.086
28007	.118
28009	.126
28011	.09
28013	.097
28015	.098
28017	.132
28019	.113
28021	.15
28023	.1
28025	.178
28027	.111
28029	.099
28031	.077
28033	.072
28035	.077
28037	.09
28039	.1
28041	.099
28043	.11
28045	.075
28047	.072
28049	.079
28051	.166
28053	.102
28055	.092
28057	.096
28059	.08
28061	.102
28063	.155
28065	.106
28067	.071
28069	.103
28071	.069
28073	.066
28075	.087
28077	.102
28079	.087
28081	.098
28083	.116
28085	.088
28087	.102
28089	.063
28091	.101
28093	.112
28095	.137
28097	.127
28099	.084
28101	.079
28103	.176
28105	.08
28107	.119
28109	.083
28111	.104
28113	.098
28115	.087
28117	.115
28119	.111
28121	.056
28123	.059
28125	.09
28127	.082
28129	.082
28131	.072
28133	.118
28135	.099
28137	.103
28139	.125
28141	.101
28143	.13
28145	.088
28147	.103
28149	.091
28151	.113
28153	.094
28155	.135
28157	.101
28159	.151
28161	.129
28163	.105
29001	.065
29003	.076
29005	.079
29007	.092
29009	.081
29011	.117
29013	.108
29015	.093
29017	.088
29019	.062
29021	.087
29023	.08
29025	.086
29027	.08
29029	.079
29031	.069
29033	.098
29035	.087
29037	.097
29039	.086
29041	.105
29043	.08
29045	.113
29047	.086
29049	.087
29051	.067
29053	.084
29055	.107
29057	.101
29059	.094
29061	.087
29063	.093
29065	.094
29067	.098
29069	.111
29071	.115
29073	.108
29075	.068
29077	.083
29079	.069
29081	.078
29083	.096
29085	.123
29087	.071
29089	.083
29091	.092
29093	.087
29095	.109
29097	.084
29099	.106
29101	.08
29103	.059
29105	.11
29107	.09
29109	.078
29111	.083
29113	.113
29115	.103
29117	.078
29119	.07
29121	.079
29123	.098
29125	.087
29127	.089
29129	.079
29131	.106
29133	.097
29135	.078
29137	.11
29139	.103
29141	.113
29143	.089
29145	.079
29147	.059
29149	.09
29151	.099
29153	.076
29155	.121
29157	.072
29159	.081
29161	.071
29163	.083
29165	.08
29167	.089
29169	.068
29171	.074
29173	.08
29175	.094
29177	.083
29179	.127
29181	.095
29183	.087
29185	.103
29186	.093
29187	.109
29189	.096
29195	.079
29197	.078
29199	.122
29201	.092
29203	.096
29205	.081
29207	.09
29209	.09
29211	.064
29213	.086
29215	.088
29217	.079
29219	.112
29221	.137
29223	.095
29225	.09
29227	.084
29229	.096
29510	.111
30001	.044
30003	.102
30005	.05
30007	.062
30009	.048
30011	.039
30013	.052
30015	.042
30017	.046
30019	.042
30021	.048
30023	.065
30025	.037
30027	.047
30029	.088
30031	.055
30033	.034
30035	.072
30037	.047
30039	.082
30041	.051
30043	.058
30045	.046
30047	.083
30049	.043
30051	.047
30053	.111
30055	.032
30057	.048
30059	.078
30061	.086
30063	.056
30065	.075
30067	.061
30069	.045
30071	.048
30073	.06
30075	.04
30077	.073
30079	.031
30081	.075
30083	.046
30085	.075
30087	.073
30089	.112
30091	.043
30093	.055
30095	.052
30097	.031
30099	.04
30101	.041
30103	.051
30105	.046
30107	.043
30109	.041
30111	.047
31001	.056
31003	.036
31005	.044
31007	.035
31009	.052
31011	.039
31013	.071
31015	.036
31017	.031
31019	.035
31021	.057
31023	.039
31025	.046
31027	.032
31029	.03
31031	.025
31033	.041
31035	.043
31037	.04
31039	.035
31041	.031
31043	.055
31045	.044
31047	.048
31049	.038
31051	.037
31053	.049
31055	.05
31057	.04
31059	.044
31061	.037
31063	.03
31065	.041
31067	.059
31069	.044
31071	.025
31073	.038
31075	.031
31077	.033
31079	.044
31081	.034
31083	.036
31085	.042
31087	.066
31089	.032
31091	.04
31093	.038
31095	.046
31097	.039
31099	.038
31101	.039
31103	.044
31105	.043
31107	.036
31109	.042
31111	.04
31113	.043
31115	.032
31117	.04
31119	.042
31121	.04
31123	.041
31125	.036
31127	.054
31129	.047
31131	.05
31133	.041
31135	.031
31137	.038
31139	.036
31141	.044
31143	.042
31145	.042
31147	.057
31149	.031
31151	.04
31153	.047
31155	.045
31157	.048
31159	.037
31161	.035
31163	.03
31165	.038
31167	.036
31169	.043
31171	.038
31173	.138
31175	.029
31177	.041
31179	.038
31181	.042
31183	.032
31185	.057
32001	.099
32003	.139
32005	.126
32007	.068
32009	.083
32011	.093
32013	.086
32015	.072
32017	.094
32019	.163
32021	.105
32023	.161
32027	.106
32029	.148
32031	.131
32033	.084
32510	.128
33001	.07
33003	.054
33005	.065
33007	.078
33009	.056
33011	.075
33013	.063
33015	.075
33017	.066
33019	.065
34001	.122
34003	.084
34005	.091
34007	.109
34009	.085
34011	.126
34013	.111
34015	.1
34017	.116
34019	.069
34021	.081
34023	.092
34025	.087
34027	.076
34029	.096
34031	.117
34033	.101
34035	.079
34037	.085
34039	.098
34041	.088
35001	.075
35003	.081
35005	.068
35006	.063
35007	.08
35009	.044
35011	.043
35013	.069
35015	.06
35017	.123
35019	.075
35021	.045
35023	.076
35025	.083
35027	.051
35028	.029
35029	.134
35031	.086
35033	.131
35035	.068
35037	.059
35039	.072
35041	.044
35043	.09
35045	.083
35047	.078
35049	.065
35051	.048
35053	.05
35055	.087
35057	.088
35059	.055
35061	.085
36001	.071
36003	.079
36005	.133
36007	.085
36009	.085
36011	.08
36013	.078
36015	.089
36017	.087
36019	.09
36021	.077
36023	.085
36025	.084
36027	.082
36029	.083
36031	.078
36033	.078
36035	.091
36037	.072
36039	.084
36041	.056
36043	.076
36045	.078
36047	.11
36049	.076
36051	.075
36053	.074
36055	.083
36057	.088
36059	.072
36061	.092
36063	.088
36065	.073
36067	.079
36069	.067
36071	.082
36073	.082
36075	.093
36077	.068
36079	.07
36081	.091
36083	.077
36085	.089
36087	.074
36089	.089
36091	.064
36093	.078
36095	.076
36097	.074
36099	.073
36101	.095
36103	.075
36105	.086
36107	.079
36109	.056
36111	.081
36113	.072
36115	.074
36117	.078
36119	.074
36121	.078
36123	.06
37001	.118
37003	.136
37005	.109
37007	.148
37009	.1
37011	.079
37013	.112
37015	.105
37017	.12
37019	.105
37021	.082
37023	.141
37025	.114
37027	.152
37029	.071
37031	.076
37033	.124
37035	.136
37037	.08
37039	.142
37041	.119
37043	.108
37045	.143
37047	.125
37049	.1
37051	.091
37053	.05
37055	.068
37057	.125
37059	.121
37061	.087
37063	.08
37065	.163
37067	.095
37069	.097
37071	.133
37073	.071
37075	.134
37077	.102
37079	.102
37081	.11
37083	.131
37085	.109
37087	.085
37089	.086
37091	.094
37093	.083
37095	.059
37097	.121
37099	.078
37101	.095
37103	.109
37105	.135
37107	.114
37109	.132
37111	.141
37113	.092
37115	.093
37117	.106
37119	.11
37121	.11
37123	.133
37125	.095
37127	.119
37129	.091
37131	.107
37133	.083
37135	.063
37137	.101
37139	.091
37141	.108
37143	.103
37145	.108
37147	.1
37149	.082
37151	.11
37153	.132
37155	.115
37157	.117
37159	.128
37161	.143
37163	.083
37165	.165
37167	.119
37169	.101
37171	.118
37173	.091
37175	.085
37177	.088
37179	.1
37181	.13
37183	.083
37185	.127
37187	.117
37189	.069
37191	.088
37193	.129
37195	.119
37197	.093
37199	.109
38001	.027
38003	.034
38005	.053
38007	.013
38009	.029
38011	.027
38013	.022
38015	.028
38017	.037
38019	.025
38021	.041
38023	.034
38025	.036
38027	.038
38029	.051
38031	.028
38033	.025
38035	.035
38037	.032
38039	.036
38041	.027
38043	.034
38045	.043
38047	.027
38049	.029
38051	.031
38053	.022
38055	.034
38057	.033
38059	.03
38061	.044
38063	.029
38065	.031
38067	.051
38069	.04
38071	.032
38073	.06
38075	.033
38077	.043
38079	.097
38081	.065
38083	.037
38085	.043
38087	.012
38089	.028
38091	.021
38093	.032
38095	.026
38097	.035
38099	.045
38101	.028
38103	.038
38105	.02
39001	.138
39003	.102
39005	.114
39007	.126
39009	.086
39011	.101
39013	.092
39015	.119
39017	.091
39019	.132
39021	.114
39023	.099
39025	.094
39027	.139
39029	.125
39031	.123
39033	.132
39035	.085
39037	.099
39039	.117
39041	.067
39043	.095
39045	.082
39047	.117
39049	.082
39051	.121
39053	.095
39055	.065
39057	.094
39059	.108
39061	.089
39063	.091
39065	.112
39067	.106
39069	.109
39071	.153
39073	.104
39075	.063
39077	.128
39079	.105
39081	.127
39083	.087
39085	.079
39087	.084
39089	.089
39091	.112
39093	.091
39095	.113
39097	.085
39099	.118
39101	.102
39103	.075
39105	.152
39107	.078
39109	.11
39111	.115
39113	.11
39115	.146
39117	.1
39119	.119
39121	.14
39123	.107
39125	.115
39127	.128
39129	.103
39131	.147
39133	.092
39135	.111
39137	.09
39139	.118
39141	.115
39143	.108
39145	.121
39147	.12
39149	.119
39151	.11
39153	.096
39155	.135
39157	.102
39159	.08
39161	.132
39163	.113
39165	.085
39167	.094
39169	.089
39171	.141
39173	.1
39175	.112
40001	.076
40003	.055
40005	.084
40007	.033
40009	.059
40011	.057
40013	.052
40015	.061
40017	.055
40019	.057
40021	.056
40023	.076
40025	.035
40027	.052
40029	.088
40031	.051
40033	.04
40035	.055
40037	.081
40039	.049
40041	.06
40043	.046
40045	.045
40047	.045
40049	.059
40051	.074
40053	.042
40055	.079
40057	.069
40059	.043
40061	.084
40063	.107
40065	.048
40067	.086
40069	.07
40071	.081
40073	.043
40075	.062
40077	.104
40079	.087
40081	.067
40083	.056
40085	.054
40087	.056
40089	.116
40091	.082
40093	.045
40095	.075
40097	.081
40099	.047
40101	.081
40103	.077
40105	.093
40107	.089
40109	.061
40111	.085
40113	.074
40115	.062
40117	.082
40119	.063
40121	.065
40123	.051
40125	.065
40127	.089
40129	.045
40131	.072
40133	.092
40135	.087
40137	.084
40139	.038
40141	.056
40143	.068
40145	.066
40147	.059
40149	.063
40151	.042
40153	.065
41001	.085
41003	.075
41005	.104
41007	.082
41009	.126
41011	.117
41013	.161
41015	.112
41017	.135
41019	.14
41021	.056
41023	.099
41025	.15
41027	.066
41029	.115
41031	.129
41033	.133
41035	.12
41037	.101
41039	.115
41041	.094
41043	.136
41045	.093
41047	.103
41049	.074
41051	.109
41053	.093
41055	.076
41057	.082
41059	.078
41061	.102
41063	.087
41065	.08
41067	.096
41069	.067
41071	.11
42001	.074
42003	.072
42005	.08
42007	.084
42009	.109
42011	.091
42013	.074
42015	.076
42017	.073
42019	.071
42021	.088
42023	.167
42025	.1
42027	.056
42029	.063
42031	.083
42033	.098
42035	.082
42037	.082
42039	.101
42041	.068
42043	.081
42045	.079
42047	.129
42049	.092
42051	.091
42053	.102
42055	.086
42057	.143
42059	.078
42061	.102
42063	.078
42065	.095
42067	.076
42069	.083
42071	.075
42073	.089
42075	.07
42077	.093
42079	.092
42081	.093
42083	.1
42085	.113
42087	.104
42089	.09
42091	.07
42093	.059
42095	.088
42097	.094
42099	.081
42101	.11
42103	.086
42105	.103
42107	.101
42109	.086
42111	.085
42113	.079
42115	.078
42117	.078
42119	.088
42121	.087
42123	.073
42125	.079
42127	.066
42129	.078
42131	.069
42133	.084
44001	.111
44003	.119
44005	.1
44007	.135
44009	.092
45001	.148
45003	.094
45005	.225
45007	.125
45009	.181
45011	.19
45013	.087
45015	.107
45017	.144
45019	.09
45021	.162
45023	.211
45025	.168
45027	.161
45029	.142
45031	.13
45033	.172
45035	.103
